"Product, Brand, and Size",Price per Unit,Price,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Barilla Fusilli Al Bronzo 14.1oz Pasta Box - 14.1 OZ,($0.21 / Ounce),2.961,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,41.00g,3.00g,1.00g,8.00g,0.00mcg,0.00mg,0.00mg,118.00mg
Barilla Gemelli Ready Pasta 7oz Pouch - 7 OZ,($0.21 / Ounce),1.47,310,1.50g,0.50g,0.00g,0.00mg,220.00mg,41.00g,5.00g,0.00g,7.00g,0.00mcg,0.00mg,0.00mg,40.00mg
Barilla Legume Chickpea Rotini Pasta - 8.8 Oz,($0.28 / Ounce),2.464,190,3.50g,0.50g,0.00g,0.00mg,0.00mg,34.00g,8.00g,2.00g,12.00g,0.00mcg,0.00mg,0.00mg,622.00mg
Barilla Linguine Al Bronzo 14.1oz Pasta Box - 14.1 OZ,($0.21 / Ounce),2.961,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,41.00g,3.00g,1.00g,8.00g,0.00mcg,0.00mg,0.00mg,118.00mg
Barilla Pasta Angel Hair Box - 16 Oz,($0.12 / Ounce),1.92,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,39.00g,4.00g,2.00g,10.00g,0.00mcg,14.00mg,2.00mg,245.00mg
Barilla Pasta Ditalini No. 45 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,1.80mg,118.00mg
Barilla Pasta Elbows Gluten Free Box - 12 Oz,($0.21 / Ounce),2.52,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,2.00g,0.00g,4.00g,0.00mcg,2.00mg,0.00mg,77.00mg
Barilla Pasta Elbows Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,17.00mg,2.00mg,274.00mg
Barilla Pasta Farfalle No. 65 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,2.00g,2.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Fettuccine Box - 16 Oz,($0.12 / Ounce),1.92,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,2.00g,0.00g,4.00g,0.00mcg,2.00mg,0.00mg,77.00mg
Barilla Pasta Lasagne - 16 Oz,($0.21 / Ounce),3.36,180,1.00g,0.00g,0.00g,0.00mg,0.00mg,37.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,0.00mg,105.00mg
Barilla Pasta Lasagne Oven-Ready Box - 10 Oz,($0.25 / Ounce),2.5,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,43.00g,2.00g,0.00g,4.00g,0.00%,0.20%,0.00%,2.00%
Barilla Pasta Linguine Box - 16 Oz,($0.12 / Ounce),1.92,300,1.50g,0.40g,0.00g,0.00mg,3.00mg,63.00g,5.00g,2.00g,11.00g,0.00mcg,20.00mg,2.50mg,175.00mg
Barilla Pasta Linguine Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,26.00mg,1.80mg,274.00mg
Barilla Pasta Manicotti No. 388 Box - 8 Oz,($0.44 / Ounce),3.52,170,1.00g,0.00g,0.00g,0.00mg,0.00mg,37.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,0.00mg,105.00mg
Barilla Pasta Orzo No. 26 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,1.80mg,118.00mg
Barilla Pasta Penne Gluten Free Box - 12 Oz,($0.21 / Ounce),2.52,190,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,2.00g,0.00g,5.00g,0.00mcg,2.00mg,0.00mg,77.00mg
Barilla Pasta Penne No. 72 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,2.00g,2.00g,7.00g,0.00%,0.00%,10.00%,0.00%
Barilla Pasta Penne Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,17.00mg,2.00mg,274.00mg
Barilla Pasta Red Lentil Spaghetti - 8.8 Oz,($0.51 / Ounce),4.488,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,34.00g,6.00g,1.00g,12.00g,0.00mcg,0.00mg,0.00mg,518.00mg
Barilla Pasta Rigatoni No. 83 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Rotini No. 81 Box - 16 Oz,($0.12 / Ounce),1.92,190,1.50g,0.50g,0.00g,0.00mg,220.00mg,41.00g,5.00g,0.00g,7.00g,0.00mcg,13.00mg,1.00mg,40.00mg
Barilla Pasta Rotini Tri-Color No. 381 Box - 12 Oz,($0.17 / Ounce),2.04,200,1.00g,0.00g,0.00g,0.00mg,10.00mg,42.00g,3.00g,2.00g,7.00g,0.00mcg,0.00mg,0.00mg,157.00mg
Barilla Pasta Rotini Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,200,1.50g,0.00g,0.00g,0.00mg,10.00mg,41.00g,6.00g,2.00g,7.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Barilla Pasta Shells Jumbo No. 333 Box - 12 Oz,($0.29 / Ounce),3.48,170,1.00g,0.00g,0.00g,0.00mg,0.00mg,37.00g,3.00g,1.00g,7.00g,0.00mcg,11.00mg,1.00mg,105.00mg
Barilla Pasta Shells Medium No. 393 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Spaghetti Box - 16 Oz,($0.12 / Ounce),1.92,300,1.50g,0.40g,0.00g,0.00mg,3.00mg,63.00g,5.00g,2.00g,11.00g,0.00mcg,20.00mg,2.50mg,175.00mg
Barilla Pasta Spaghetti Gluten Free Box - 12 Oz,($0.21 / Ounce),2.52,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,44.00g,1.00g,0.00g,4.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Barilla Pasta Spaghetti Thick No. 7 Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,12.00mg,2.00mg,118.00mg
Barilla Pasta Spaghetti Thin Box - 16 Oz,($0.12 / Ounce),1.92,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,42.00g,3.00g,1.00g,7.00g,0.00mcg,0.00mg,1.80mg,118.00mg
Barilla Pasta Spaghetti Thin Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,26.00mg,1.80mg,274.00mg
Barilla Pasta Spaghetti Whole Grain Box - 16 Oz,($0.12 / Ounce),1.92,180,1.50g,0.00g,0.00g,0.00mg,0.00mg,39.00g,7.00g,1.00g,8.00g,0.00mcg,17.00mg,2.00mg,274.00mg
Barilla Penne Al Bronzo 14.1oz Pasta Box - 14.1 OZ,($0.21 / Ounce),2.961,200,1.00g,0.00g,0.00g,0.00mg,0.00mg,41.00g,3.00g,1.00g,8.00g,0.00mcg,0.00mg,0.00mg,118.00mg
Barkleys Beef Marrow Bones - 2.5 Lb,($4.00 / Lb),10,200,12.00g,3.50g,0.00g,25.00mg,570.00mg,1.00g,0.00g,0.00g,22.00g,0.00%,1880.00%,10.00%,0.00%
Bartlett Pear,($2.49 / Lb),0,101,0.30g,0.00g,9.00g,0.00mg,1.80mg,27.00g,5.50g,17.00g,0.60g,0.00mcg,16.00mg,0.30mg,206.50mg
Bavarian Meats Spicy Lil Landjaeger - 10 OZ,($1.60 / Ounce),16,120,9.00g,3.00g,0.00g,30.00mg,510.00mg,0.00g,0.00g,0.00g,9.00g,0.00%,0.00%,4.00%,0.00%
Bay Scallops Iqf - 1 Lb,($9.99 / Lb),9.99,100,1.00g,0.00g,0.00g,30.00mg,190.00mg,5.00g,0.00g,0.00g,19.00g,0.00mcg,10.00mg,0.00mg,480.00mg
Beef Brisket Flat Cut Kosher - 4.5 Lb,($17.99 / Lb),80.955,170,12.00g,5.00g,1.00g,65.00mg,1120.00mg,0.00g,0.00g,0.00g,16.00g,0.00%,0.00%,8.00%,0.00%
Beef Filet Mignon Tenderloin Steak Imported - 1 Lb,($19.99 / Lb),19.99,110,1.50g,0.00g,0.00g,0.00mg,230.00mg,22.00g,0.50g,4.00g,2.00g,0.40mcg,60.00mg,1.20mg,0.00mg
Beef Flank Steak Value Pack - 1 Lbs,($6.39 / Lb),6.39,180,9.00g,4.00g,0.00g,75.00mg,60.00mg,0.00g,0.00g,0.00g,24.00g,0.00%,0.00%,10.00%,0.00%
Beef Ground Beef 96% Lean 4% Fat - 1.25 Lb,($6.99 / Lb),8.7375,140,4.50g,2.00g,0.00g,60.00mg,85.00mg,0.00g,0.00g,0.00g,24.00g,0.00mcg,0.00mg,2.70mg,0.00mg
