Product,Brand,Price,Size,Price per Unit,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Bread (Classic White),Wonder,$4.19,(2 Pack) 20 oz,$0.10/oz,140,1.50g,0.00g,0.00g,0.00mg,180.00mg,29.00g,2.00g,10.00g,5.00g,1.10mcg,410.00mg,1.70mg,80.00mg
Bread (Omega Me Crazy - 21 Whole Grain Bread),Old Tyme,$6.49,(2 Pack) 24 oz,$0.14/oz,100,1.50g,0.00g,0.00g,0.00mg,140.00mg,17.00g,0.50g,6.00g,6.00g,0.20mcg,20.00mg,0.80mg,40.00mg
Bread (Healthy 8 Grain),Innkeepers,$3.99,36 oz,$0.11/oz,130,1.50g,0.00g,0.00g,0.00mg,200.00mg,24.00g,3.00g,5.00g,5.00g,0%,2%,8%,0%
Bread (Organic 21 Whole Grain),Dave's Killer Bread,$9.29,2 pk,$4.65/pk,110,1.50g,0.00g,0.00g,0.00mg,170.00mg,100.00g,22.00g,5.00g,5.00g,0%,0%,5.60%,0%
Bread Crumbs (Flavored),4C,$7.89,(2 Pack) 46 oz,$0.09/oz,100,0.50g,0.00g,0.00g,0.00mg,410.00mg,22.00g,1.00g,0.00g,2.00g,0%,3.90%,1.70%,40.00mg
Breakfast Biscuit (Almond Butter),Nature Valley,$15.39,30 ct,$0.51/ct,190,10.00g,2.00g,0.00g,0.00mg,140.00mg,23.00g,3.00g,11.00g,3.00g,0.00mcg,26.00mg,0.70mg,60.00mg
Breakfast Burrito (Meat Lover's),Red's,$14.49,(10 Pack) 5 oz,$0.29/oz,350,18.00g,6.00g,0.00g,100.00mg,740.00mg,32.00g,1.00g,3.00g,16.00g,0.50mcg,140.00mg,0.90mg,90.00mg
Breakfast Veggie Patty (Original Sausage Patties),Morningstar Farms,$14.79,42.8 oz,$0.35/oz,70,3.00g,0.00g,0.00g,0.00mg,300.00mg,3.00g,1.00g,0.00g,9.00g,0.00mcg,10.00mg,2.60mg,40.00mg
Broccoli (Organic) [Organic],Kirkland Signature,$8.99,4 lb,$2.25/lb,3.5,0.00g,0.00g,0.00g,0.00mg,4.10mg,0.70g,0.30g,0.10g,0.20g,0.00mcg,4.00mg,0.10mg,29.30mg
Brown Rice (Organic Sesame Teriyaki w/ Grains),Nature's Intent,$9.99,(8 Pack) 8.5 oz,$0.15/oz,400,9.00g,1.00g,0.00g,0.00mg,670.00mg,75.00g,9.00g,6.00g,10.00g,0.00mcg,30.00mg,2.90mg,430.00mg
Brown Rice & Quinoa (Organic) [Organic],Kirkland Signature,$8.99,6 ct,$1.50/ct,420,7.00g,1.50g,0.00g,0.00mg,390.00mg,80.00g,6.00g,0.50g,9.00g,0.00mcg,40.00mg,1.50mg,380.00mg
"Brown Rice Ramen [*Sale*,Organic]",Lotus Organic,$6.99,(12 Pack) 2.5 oz,$0.23/oz,130,1.50g,0.00g,0.00g,0.00mg,0.00mg,23.00g,2.00g,0.00g,4.00g,0.00mcg,26.00mg,1.00mg,169.00mg
Brown Sugar (Light),US Sugar,$4.99,7 lb,$0.71/lb,11,0.00g,0.00g,0.00g,0.00mg,0.80mg,2.90g,0.00g,2.90g,0.00g,0.00mcg,2.50mg,0.00mg,4.00mg
Brown Sugar (Organic) [Organic],Kirkland Signature,$8.99,7.5 lb,$1.20/lb,30,0.00g,0.00g,0.00g,0.00mg,0.00mg,8.00g,0.00g,16.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Brown Sugar Boba Bars,I-Mei,$13.79,12 ct,$1.15/ct,154,5.00g,5.00g,0.00g,0.00mg,27.00mg,25.00g,0.00g,26.00g,1.00g,0.00mcg,47.00mg,0.00mg,57.00mg
Bufala Mozzarella,Garofalo,$13.99,17.6 oz,$0.79/oz,80,7.00g,3.50g,0.00g,20.00mg,55.00mg,0.00g,0.00g,0.00g,5.00g,0.00mcg,103.00mg,0.00mg,5.00mg
"Buffalo Wings (Take Out Crispy Wings, Classic Buffalo)",Foster Farms,$17.99,4 lb,$4.50/lb,150,9.00g,2.50g,0.00g,75.00mg,630.00mg,4.00g,0.00g,0.00g,12.00g,0.00mcg,0.00mg,0.00mg,130.00mg
Bulkie Rolls (Sub Rolls),Calise Bakery,$3.69,12 ct,$0.31/ct,170,2.00g,0.00g,0.00g,5.00mg,310.00mg,30.00g,1.00g,1.00g,7.00g,0%,6%,10%,0%
Burger Blends,Teton Waters Ranch,$10.69,28 oz,$0.38/oz,190,15.00g,6.00g,0.00g,55.00g,90.00mg,2.00mg,0.00g,0.50g,15.00g,0%,0%,30%,0%
Burger Patties,Impossible Burger,$13.99,(8 Pack) 32 oz,$0.05/oz,230,13.00g,6.00g,0.00g,0.00mg,370.00mg,9.00g,5.00g,0.50g,19.00g,0.00mcg,0.00mg,0.00mg,700.00mg
Butter (Organic Salted) [Organic],Kirkland Signature,$11.29,2 lb,$5.65/lb,100,11.00g,7.00g,0.00g,30.00mg,90.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Butter (Salted or Unsalted Quarters),Kirkland Signature,$13.99,(4 Pack) 1 lb,$3.50/lb,70,8.00g,5.00g,0.30g,20.00mg,85.00mg,0.00g,0.00g,0.00g,0.10g,0%,2%,0%,0%
Butter (Grass-Fed Salted),Kirkland Signature,$10.99,(4 Pack) 8 oz,$0.34/oz,100,11.00g,7.00g,0.50g,30.00mg,75.00mg,0.00g,0.00g,0.00g,0.00g,0.80mcg,0.00mg,0.00mg,0.00mg
Butter Croissants,Kirkland Signature,$4.99,12 ct,$0.42/ct,300,17.00g,11.00g,0.50g,60.00mg,360.00mg,30.00g,1.00g,6.00g,6.00g,0%,2%,10%,0%
Butter Spread,I Can't Believe It's Not Butter,$10.99,(2 Pack) 45 oz,$0.12/oz,52,59.00g,20.00g,0.00g,0.00mg,1.50mg,2.50g,0.00g,2.50g,2.50g,0.00mcg,0.00mg,0.00mg,0.00mg
Buttery Spread (Original),Smart Balance,$7.99,(2 Pack) 2 lb,$2.00/lb,60,7.00g,2.00g,0.00g,0.00mg,105.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Buttery Steakhouse Seasoning (Organic Steakhouse Rub),Kinder's,$6.99,10.4 oz,$0.67/oz,0,0.00g,0.00g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Cabaret Butter Cracker (5 packs),Dare,$7.99,35 oz,$0.23/oz,70,3.00g,2.00g,0.00g,0.00mg,70.00mg,9.00g,0.00g,0.50g,1.00g,0.00mcg,0.00mg,3.30%,20.00mg
Cacao Powder (Organic),Navitas,$6.99,24 oz,$0.29/oz,60,1.50g,1.00g,0.00g,0.00mg,0.00mg,8.00g,5.00g,0.00g,4.00g,0.00mcg,35.00mg,2.00mg,300.00mg
Caesar Dressing (Keto Friendly),Primal Kitchen,$8.99,(2 Pack) 12 oz,$0.37/oz,163,17.00g,2.60g,9.90g,12.00mg,363.00mg,1.00g,0.20g,0.80g,0.70g,0.00mcg,14.00mg,0.00mg,8.70mg
Caldo de Pollo,Knorr,$5.59,2.53 lb,$2.21/lb,5,0.00g,0.00g,0.00g,0.00mg,820.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,210.00mg
Canadian Bacon Slices (Uncured),Jones Dairy Farm,$9.79,24 oz,$0.41/oz,60,1.50g,0.50g,0.00g,30.00mg,520.00mg,1.00g,0.00g,1.00g,10.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Canned Pumpkin,Libby's,$6.99,(3 Pack) 29 oz,$0.08/oz,45,0.50g,0.00g,0.00g,0.00mg,5.00mg,10.00g,3.00g,5.00g,1.00g,0.00mcg,20.00mg,1.00mg,330.00mg
"Canola Oil (2, 3 Quarts)",Kirkland Signature,$13.49,192 oz,$0.07/oz,124,14.00g,1.00g,0.10g,0.00mg,0.00mg,0.00g,0.00g,0.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Caramel Flan,Marie Morin,$7.69,(8 Pack) 4.6 oz,$0.21/oz,250,10.00g,5.00g,0.00g,165.00mg,90.00mg,34.00g,0.00g,33.00g,5.00g,0%,6%,10%,94.00mg
Caramel Macchiato Creamer,Starbucks,$7.99,58 oz,$0.14/oz,40,1.50g,1.00g,0.00g,2.50mg,5.00mg,6.00g,0.00g,11.00g,0.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Caramel Stroopwafel (*may not be restocked),Le Chef,$8.99,44.48 oz,$0.20/oz,157,5.90g,3.60g,0.20g,19.00mg,53.00mg,25.00g,0.40g,17.00g,1.40g,0.00mcg,33.00mg,1.10mg,182.20mg
Carrot Juice (Organic),Bolthouse,$8.69,(3 Pack) 32 oz,$0.09/oz,70,0.00g,0.00g,0.00g,0.00mg,150.00mg,15.00g,1.00g,13.00g,2.00g,0.00mcg,50.00mg,0.40mg,540.00mg
Carrots with Maple Glaze,Hak's,$11.89,25 oz,$0.48/oz,230,12.00g,2.00g,0.00g,0.00mg,840.00mg,31.00g,4.00g,23.00g,2.00g,0.00mcg,204.00mg,1.40mg,0.00mg
Cashews (Unsalted),Kirkland Signature,$13.99,40 oz,$0.35/oz,160,14.00g,2.50g,0.00g,0.00mg,0.00mg,8.00g,0.50g,2.00g,5.00g,0.00mcg,0.00mg,1.60mg,180.00mg
Caulicious Dip,Nature's Intent,$7.99,(2 Pack) 14 oz,$0.29/oz,60,6.00g,1.00g,0.00g,2.50mg,170.00mg,1.00g,0.50g,0.00g,1.00g,0.00mcg,30.00mg,0.00mg,0.00mg
Cauliflower Bites [Organic],Rhythm Organic,$6.99,5.75 oz,$1.22/oz,120,9.00g,1.00g,0.00g,0.00mg,210.00mg,10.00g,3.00g,4.00g,3.00g,0.00mcg,40.00mg,0.60mg,240.00mg
Cauliflower Bites [Organic],Don Lee Organic,$10.99,28 oz,$0.39/oz,210,13.00g,3.00g,0.00g,10.00mg,330.00mg,19.00g,2.00g,2.00g,6.00g,0.00mcg,74.00mg,1.00mg,194.00mg
Cauliflower Crust Pizza (Roasted Vegetable Pizza),Milton's,$14.89,2 ct,$7.45/ct,230,8.00g,5.00g,0.00g,25.00mg,570.00mg,27.00g,2.00g,6.00g,12.00g,0.00mcg,319.00mg,1.00mg,72.00mg
Cauliflower Pizza (Supreme Cauliflower Pizza),Kirkland Signature,$10.69,(2 Pack) 19.4 oz,$0.28/oz,310,15.00g,8.00g,0.00g,45.00mg,900.00mg,31.00g,1.00g,6.00g,14.00g,0.00mcg,353.00mg,1.00mg,291.00mg
,,,,,,,,,,,,,,,,,,
*% = percent daily values are based on a 2000 calorie diet,,,,,,,,,,,,,,,,,,
